Unnamed: 0,instruction,input,output,id,generated_text,model_response,cleaned_response,relevance_score,cc_score,syntax_score,complete_score,hallucination_type,is_repeat,expected_out_word_count,actual_out_word_count,rouge1,rouge2,rougeL,bleu
32,एक विक्रेताले कसरी ग्राहकलाई स्टोर छोड्न सोध्छ भनेर प्रदर्शन गर्ने संवाद उत्पन्न गर्नुहोस्।,,"विक्रेता: ""मलाई माफ गर्नुहोस्, म तपाईंलाई अहिले पसल छोड्न सोध्न जाँदैछु। हामी चाँडै बन्द गर्दैछौं।""
ग्राहक: ""के म अझै केही मिनेट लिन सक्छु?""
विक्रेता: ""म माफी चाहन्छु, तर होइन। हामीले यहाँ समाप्त गर्न आवश्यक छ, र मैले छिट्टै पसललाई लक गर्न आवश्यक छ। कृपया आफ्ना वस्तुहरू जम्मा गर्नुहोस् र बाहिर जानुहोस्।""",40314,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
एक विक्रेताले कसरी ग्राहकलाई स्टोर छोड्न सोध्छ भनेर प्रदर्शन गर्ने संवाद उत्पन्न गर्नुहोस्।

### Input:


### Response:
विक्रेता: हामी तपाईंलाई खुशी ल्याउने उत्पादन फेला पार्नुभएकोमा धन्यवाद। के तपाइँ कुनै थप सहयोग चाहानुहुन्छ?
ग्राहक: होइन, म राम्रो छु। म यो सप्ताहन्त केही उत्पादनहरू पाउन सक्षम भएकोमा धेरै आभारी छु।
विक्रेता: महान! यदि तपाईंले मलाई मद्दत गर्न सक्ने केही छ भने, म यो पाउन पाउँछु। तपाईंले आफ्नो दिन राम्रो बिताउनु भएकोमा धन्यवाद!<|end_of_text|>","विक्रेता: हामी तपाईंलाई खुशी ल्याउने उत्पादन फेला पार्नुभएकोमा धन्यवाद। के तपाइँ कुनै थप सहयोग चाहानुहुन्छ?
ग्राहक: होइन, म राम्रो छु। म यो सप्ताहन्त केही उत्पादनहरू पाउन सक्षम भएकोमा धेरै आभारी छु।
विक्रेता: महान! यदि तपाईंले मलाई मद्दत गर्न सक्ने केही छ भने, म यो पाउन पाउँछु। तपाईंले आफ्नो दिन राम्रो बिताउनु भएकोमा धन्यवाद!","विक्रेता: हामी तपाईंलाई खुशी ल्याउने उत्पादन फेला पार्नुभएकोमा धन्यवाद। के तपाइँ कुनै थप सहयोग चाहानुहुन्छ?
ग्राहक: होइन, म राम्रो छु। म यो सप्ताहन्त केही उत्पादनहरू पाउन सक्षम भएकोमा धेरै आभारी छु।
विक्रेता: महान! यदि तपाईंले मलाई मद्दत गर्न सक्ने केही छ भने, म यो पाउन पाउँछु। तपाईंले आफ्नो दिन राम्रो बिताउनु भएकोमा धन्यवाद!<|end_of_text|>",7,6,8,5,,No,51,53,0.0,0.0,0.0,0.010004608801512143
33,कल्पना गर्नुहोस् कि तपाईं एउटा सानो शहरको सडकमा हिड्दै हुनुहुन्छ। तपाईंले एक देखि दुई वाक्यमा के देख्नुहुन्छ वर्णन गर्नुहोस्।,,"म साँघुरो सडकहरू रंगीन पसलहरूले भरिएको देख्छु, मानिसहरू च्याट गर्दै र हाँसिरहेकाहरूले भरिएको मनमोहक ढुङ्गाको चोकमा घुमिरहन्छु।",47744,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
कल्पना गर्नुहोस् कि तपाईं एउटा सानो शहरको सडकमा हिड्दै हुनुहुन्छ। तपाईंले एक देखि दुई वाक्यमा के देख्नुहुन्छ वर्णन गर्नुहोस्।

### Input:


### Response:
म सानो शहरको सडकमा हिड्दै छु र वरिपरि केही साना घरहरू, पुरानो कारखानाहरू र केही क्याफेहरू छन्। सडकहरू धेरै टाढा र छेउछाउमा फैलिएका छन्, र मानिसहरू घुमिरहेका छन् र बाहिरी ठाउँहरूमा बिताएका छन्।<|end_of_text|>","म सानो शहरको सडकमा हिड्दै छु र वरिपरि केही साना घरहरू, पुरानो कारखानाहरू र केही क्याफेहरू छन्। सडकहरू धेरै टाढा र छेउछाउमा फैलिएका छन्, र मानिसहरू घुमिरहेका छन् र बाहिरी ठाउँहरूमा बिताएका छन्।","म सानो शहरको सडकमा हिड्दै छु र वरिपरि केही साना घरहरू, पुरानो कारखानाहरू र केही क्याफेहरू छन्। सडकहरू धेरै टाढा र छेउछाउमा फैलिएका छन्, र मानिसहरू घुमिरहेका छन् र बाहिरी ठाउँहरूमा बिताएका छन्।<|end_of_text|>",5,6,6,5,,No,17,33,0.0,0.0,0.0,0.01214595417412267
34,"""राजकुमारी"", ""महल"", र ""ड्रेगन"" शब्दहरू समावेश भएको कथा उत्पन्न गर्नुहोस्।",,"एक समयको कुरा हो, त्यहाँ एक बहादुर र दयालु राजकुमारी थियो जो एक राजसी महलमा बस्थे। एक दिन, राजकुमारीले नजिकैको जंगलमा एउटा अजिङ्गर फेला पारे। उनी साहसी भई ड्र्यागनलाई भेट्न बाहिर निस्किन् र चाँडै नै दुई जना साथी भए। ड्र्यागनले महल र राजकुमारीको रक्षा गर्ने वाचा गरे, एक वफादार र प्रिय साथी बने।",45276,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
""राजकुमारी"", ""महल"", र ""ड्रेगन"" शब्दहरू समावेश भएको कथा उत्पन्न गर्नुहोस्।

### Input:


### Response:
कुनै समयको कुरा हो, त्यहाँ एक सुन्दर राजकुमारी थिई जो पुरानो महलमा बस्थे। उनी सधैं एक ड्र्यागन खोजिरहेकी थिइन् जुन उनी भेट्न सक्छिन्। एक दिन, राजकुमारीले आफ्नो खोजमा एक ड्र्यागन देखे र यसलाई पछ्याइन्। उनी ड्र्यागनको खोहमा पुगिन् र यसलाई भेट्न सक्षम भइन्। राजकुमारी र ड्र्यागन त्यसपछि साँचो प्रेममा परे र उनीहरूले सँगै खुशीसाथ बाँचे।<|end_of_text|>","कुनै समयको कुरा हो, त्यहाँ एक सुन्दर राजकुमारी थिई जो पुरानो महलमा बस्थे। उनी सधैं एक ड्र्यागन खोजिरहेकी थिइन् जुन उनी भेट्न सक्छिन्। एक दिन, राजकुमारीले आफ्नो खोजमा एक ड्र्यागन देखे र यसलाई पछ्याइन्। उनी ड्र्यागनको खोहमा पुगिन् र यसलाई भेट्न सक्षम भइन्। राजकुमारी र ड्र्यागन त्यसपछि साँचो प्रेममा परे र उनीहरूले सँगै खुशीसाथ बाँचे।","कुनै समयको कुरा हो, त्यहाँ एक सुन्दर राजकुमारी थिई जो पुरानो महलमा बस्थे। उनी सधैं एक ड्र्यागन खोजिरहेकी थिइन् जुन उनी भेट्न सक्छिन्। एक दिन, राजकुमारीले आफ्नो खोजमा एक ड्र्यागन देखे र यसलाई पछ्याइन्। उनी ड्र्यागनको खोहमा पुगिन् र यसलाई भेट्न सक्षम भइन्। राजकुमारी र ड्र्यागन त्यसपछि साँचो प्रेममा परे र उनीहरूले सँगै खुशीसाथ बाँचे।<|end_of_text|>",8,7,8,6,,No,53,55,0.0,0.0,0.0,0.10815474807013459
35,HubSpot प्लेटफर्मको अनुसन्धान गर्नुहोस् र यसको क्षमताहरूको छोटो सारांश सिर्जना गर्नुहोस्,,"HubSpot एक सबै-मा-एक मार्केटिङ, बिक्री र ग्राहक सेवा प्लेटफर्म हो। यसले उपकरणहरूको सुइट प्रदान गर्दछ जसले प्रयोगकर्ताहरूलाई वेबसाइट आगन्तुकहरूलाई आकर्षित गर्न र संलग्न हुन, ग्राहकहरूलाई ग्राहकहरूमा रूपान्तरण गर्न र ग्राहक व्यवहार ट्र्याक गर्न सक्षम बनाउँछ। प्लेटफर्म सामग्री निर्माण, इमेल मार्केटिङ, सोशल मिडिया मार्केटिङ, रिपोर्टिङ र एनालिटिक्स, नेतृत्व ट्र्याकिङ र पोषण, र ग्राहक सेवाको लागि प्रयोग गर्न सकिन्छ। यसले प्रयोगकर्ताहरूलाई डिजिटल मार्केटिङ समाधानहरूको विस्तृत सूट प्रदान गर्न तेस्रो-पक्ष उपकरणहरूसँग पनि एकीकृत गर्दछ।",13860,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
HubSpot प्लेटफर्मको अनुसन्धान गर्नुहोस् र यसको क्षमताहरूको छोटो सारांश सिर्जना गर्नुहोस्

### Input:


### Response:
HubSpot एक क्लाउड-आधारित मार्केटिङ प्लेटफर्म हो जसले साना व्यवसायहरूलाई उनीहरूको मार्केटिङ र सञ्चार प्रक्रियाहरू स्वचालित गर्न मद्दत गर्दछ। यसले सेवाहरूको एक विस्तृत दायरा प्रदान गर्दछ, जस्तै इमेल मार्केटिङ, सामग्री व्यवस्थापन, ग्राहक सम्बन्ध व्यवस्थापन, र अनलाइन प्रवर्द्धन। यसको मुख्य लक्ष्य भनेको ग्राहकहरूलाई निजीकृत र व्यक्तिगत अनुभवहरू प्रदान गर्न, मार्केटरहरूलाई थप सूचित निर्णयहरू गर्न र तदनुसार अभियानहरू समायोजन गर्न अनुमति दिनु हो।<|end_of_text|>","HubSpot एक क्लाउड-आधारित मार्केटिङ प्लेटफर्म हो जसले साना व्यवसायहरूलाई उनीहरूको मार्केटिङ र सञ्चार प्रक्रियाहरू स्वचालित गर्न मद्दत गर्दछ। यसले सेवाहरूको एक विस्तृत दायरा प्रदान गर्दछ, जस्तै इमेल मार्केटिङ, सामग्री व्यवस्थापन, ग्राहक सम्बन्ध व्यवस्थापन, र अनलाइन प्रवर्द्धन। यसको मुख्य लक्ष्य भनेको ग्राहकहरूलाई निजीकृत र व्यक्तिगत अनुभवहरू प्रदान गर्न, मार्केटरहरूलाई थप सूचित निर्णयहरू गर्न र तदनुसार अभियानहरू समायोजन गर्न अनुमति दिनु हो।","HubSpot एक क्लाउड-आधारित मार्केटिङ प्लेटफर्म हो जसले साना व्यवसायहरूलाई उनीहरूको मार्केटिङ र सञ्चार प्रक्रियाहरू स्वचालित गर्न मद्दत गर्दछ। यसले सेवाहरूको एक विस्तृत दायरा प्रदान गर्दछ, जस्तै इमेल मार्केटिङ, सामग्री व्यवस्थापन, ग्राहक सम्बन्ध व्यवस्थापन, र अनलाइन प्रवर्द्धन। यसको मुख्य लक्ष्य भनेको ग्राहकहरूलाई निजीकृत र व्यक्तिगत अनुभवहरू प्रदान गर्न, मार्केटरहरूलाई थप सूचित निर्णयहरू गर्न र तदनुसार अभियानहरू समायोजन गर्न अनुमति दिनु हो।<|end_of_text|>",7,8,8,7,,No,71,60,0.4,0.0,0.4,0.021828480052803533
36,अफ्रिकी हात्ती बारे पाँच तथ्य पत्ता लगाउनुहोस्।,,"1. अफ्रिकी हात्ती पृथ्वीमा सबैभन्दा ठूलो जीवित भूमि स्तनपायी हो, जसको औसत वजन लगभग 6,000 किलोग्राम हुन्छ।
2. अफ्रिकी हात्तीको कुनै पनि स्तनपायी प्राणीको गर्भावस्था सबैभन्दा लामो हुन्छ -- २२ महिना।
3. अफ्रिकी हात्तीहरूसँग गन्ध र सुन्ने उत्कृष्ट ज्ञान हुन्छ, र जमिनमा कम्पनहरू पनि पत्ता लगाउन सक्छ।
4. तिनीहरू उच्च सामाजिक प्राणी हुन् र 30 व्यक्तिहरू सम्मको बथानमा बस्छन्।
5. अफ्रिकी हात्ती हात्तीको एक मात्र प्रजाति हो जसमा हात्तीको दाँतको दाँत हुन्छ।",44833,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
अफ्रिकी हात्ती बारे पाँच तथ्य पत्ता लगाउनुहोस्।

### Input:


### Response:
1. अफ्रिकी हात्ती संसारको सबैभन्दा ठूलो भूमि जनावर हो।
2. अफ्रिकी हात्तीहरू अफ्रिकाको मूल निवासी हुन्।
3. अफ्रिकी हात्तीहरू प्रायः 3.5 टन सम्म तौल गर्न सक्छन्।
4. अफ्रिकी हात्तीको उचाइ 10 फिट सम्म हुन्छ।
5. अफ्रिकी हात्तीहरू जंगलमा 70 वर्षसम्म बाँच्न सक्छन्।<|end_of_text|>","1. अफ्रिकी हात्ती संसारको सबैभन्दा ठूलो भूमि जनावर हो।
2. अफ्रिकी हात्तीहरू अफ्रिकाको मूल निवासी हुन्।
3. अफ्रिकी हात्तीहरू प्रायः 3.5 टन सम्म तौल गर्न सक्छन्।
4. अफ्रिकी हात्तीको उचाइ 10 फिट सम्म हुन्छ।
5. अफ्रिकी हात्तीहरू जंगलमा 70 वर्षसम्म बाँच्न सक्छन्।","1. अफ्रिकी हात्ती संसारको सबैभन्दा ठूलो भूमि जनावर हो।
2. अफ्रिकी हात्तीहरू अफ्रिकाको मूल निवासी हुन्।
3. अफ्रिकी हात्तीहरू प्रायः 3.5 टन सम्म तौल गर्न सक्छन्।
4. अफ्रिकी हात्तीको उचाइ 10 फिट सम्म हुन्छ।
5. अफ्रिकी हात्तीहरू जंगलमा 70 वर्षसम्म बाँच्न सक्छन्।<|end_of_text|>",10,10,10,10,,No,72,42,0.5,0.1111111111111111,0.5,0.030265494336269343
37,"गीतको बोल पुन: लेख्नुहोस् - ""ट्विंकल ट्विंकल लिटिल स्टार, म कसरी अचम्म मान्छु तिमी के हो""।",,"राती आकाशमा उज्यालो चम्किरहेको, म तिमी के हौ भनेर सोच्दछु। तपाईंको सुन्दरता धेरै मनमोहक छ, हाम्रो लागि प्रशंसा गर्न को लागी एक दृश्य। ट्विंकल ट्विंकल सानो तारा, म कसरी अचम्म मान्छु तिमी के हो।",24532,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
गीतको बोल पुन: लेख्नुहोस् - ""ट्विंकल ट्विंकल लिटिल स्टार, म कसरी अचम्म मान्छु तिमी के हो""।

### Input:


### Response:
बिजुली चम्कन्छ र ताराहरू चम्किन्छन्, एक जादुई प्रकाश प्रदर्शन। एक चम्किलो ताराको रूपमा, तपाईं यस्तो चम्किलो र उज्यालो हुनुहुन्छ कि म तपाईंको सौन्दर्यलाई बुझ्न सक्दिन। तपाईं एक सानो तारा हुनुहुन्छ, तर तपाईंको उज्यालो मेरो हृदयमा चम्कन्छ र मलाई चम्कन्छ।<|end_of_text|>","बिजुली चम्कन्छ र ताराहरू चम्किन्छन्, एक जादुई प्रकाश प्रदर्शन। एक चम्किलो ताराको रूपमा, तपाईं यस्तो चम्किलो र उज्यालो हुनुहुन्छ कि म तपाईंको सौन्दर्यलाई बुझ्न सक्दिन। तपाईं एक सानो तारा हुनुहुन्छ, तर तपाईंको उज्यालो मेरो हृदयमा चम्कन्छ र मलाई चम्कन्छ।","बिजुली चम्कन्छ र ताराहरू चम्किन्छन्, एक जादुई प्रकाश प्रदर्शन। एक चम्किलो ताराको रूपमा, तपाईं यस्तो चम्किलो र उज्यालो हुनुहुन्छ कि म तपाईंको सौन्दर्यलाई बुझ्न सक्दिन। तपाईं एक सानो तारा हुनुहुन्छ, तर तपाईंको उज्यालो मेरो हृदयमा चम्कन्छ र मलाई चम्कन्छ।<|end_of_text|>",2,4,5,3,,No,34,39,0.0,0.0,0.0,0.0111701633713493
38,बिहीबार बिहानको समय बचत गर्न योजनाको मोडेल बनाउनुहोस्।,,"बिहीबार बिहानको समय बचत गर्ने योजनाले अघिल्लो रात ब्रेकफास्ट र खाजा प्याक गर्ने, दिनको सबैभन्दा उत्पादक समयमा महत्त्वपूर्ण कार्यहरूको समयतालिका तय गर्ने, र प्राथमिकताका वस्तुहरू पहिलो सूचीमा राखेर 'गर्ने' सूची सिर्जना गर्ने समावेश हुन सक्छ।",50229,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
बिहीबार बिहानको समय बचत गर्न योजनाको मोडेल बनाउनुहोस्।

### Input:


### Response:
बिहीबार बिहानको समय बचत गर्ने योजनामा ​​प्राथमिकता दिनु, कार्यहरूलाई सानो टुक्रामा विभाजन गर्नु, साथै नियमित ब्रेक लिनु समावेश हुनुपर्छ। थप रूपमा, प्रगति ट्र्याक गर्न र लक्ष्यहरू पूरा भएको सुनिश्चित गर्न समयसीमा सेट गर्न महत्त्वपूर्ण छ।<|end_of_text|>","बिहीबार बिहानको समय बचत गर्ने योजनामा ​​प्राथमिकता दिनु, कार्यहरूलाई सानो टुक्रामा विभाजन गर्नु, साथै नियमित ब्रेक लिनु समावेश हुनुपर्छ। थप रूपमा, प्रगति ट्र्याक गर्न र लक्ष्यहरू पूरा भएको सुनिश्चित गर्न समयसीमा सेट गर्न महत्त्वपूर्ण छ।","बिहीबार बिहानको समय बचत गर्ने योजनामा ​​प्राथमिकता दिनु, कार्यहरूलाई सानो टुक्रामा विभाजन गर्नु, साथै नियमित ब्रेक लिनु समावेश हुनुपर्छ। थप रूपमा, प्रगति ट्र्याक गर्न र लक्ष्यहरू पूरा भएको सुनिश्चित गर्न समयसीमा सेट गर्न महत्त्वपूर्ण छ।<|end_of_text|>",7,8,8,7,,No,35,35,0.0,0.0,0.0,0.11117895489854909
39,निम्न विवरणसँग उपयुक्त हुने एउटा अद्वितीय चलचित्र शीर्षकको सुझाव दिनुहोस्।,एक पौराणिक खजाना खोज्न महाकाव्य यात्रामा जाने दुई भाइहरूको बारेमा एउटा कथा।,The Adventurers of the Lost Ark।,30396,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
निम्न विवरणसँग उपयुक्त हुने एउटा अद्वितीय चलचित्र शीर्षकको सुझाव दिनुहोस्।

### Input:
एक पौराणिक खजाना खोज्न महाकाव्य यात्रामा जाने दुई भाइहरूको बारेमा एउटा कथा।

### Response:
द्विभन्द्वको खोजी: एक महाकाव्य खोज।<|end_of_text|>",द्विभन्द्वको खोजी: एक महाकाव्य खोज।,द्विभन्द्वको खोजी: एक महाकाव्य खोज।<|end_of_text|>,8,7,8,7,,No,6,5,0.2222222222222222,0.0,0.2222222222222222,0.0
40,कल्पना गर्नुहोस् कि तपाईं निम्न कथाको नायक हुनुहुन्छ र उपयुक्त संवाद उत्पन्न गर्नुहोस्,तपाईं अँध्यारो गल्लीमा हिंड्दै हुनुहुन्छ। छायामा लुकेको एउटा अनौठो आकृति छ।,"""त्यहाँ को छ?"" मैले डरको बलियो अनुभूति गर्दै भनें।
""आफैलाई देखाउनुहोस्! यहाँ के गर्दै हुनुहुन्छ?""",14037,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
कल्पना गर्नुहोस् कि तपाईं निम्न कथाको नायक हुनुहुन्छ र उपयुक्त संवाद उत्पन्न गर्नुहोस्

### Input:
तपाईं अँध्यारो गल्लीमा हिंड्दै हुनुहुन्छ। छायामा लुकेको एउटा अनौठो आकृति छ।

### Response:
नायक: के हो, तपाईं यहाँ के गर्दै हुनुहुन्छ?
अनौठो आकृति: म यहाँ मात्र हिंड्दै छु, केवल तपाईंलाई भेट्न। तपाईलाई के गर्न चाहान्छ?
नायक: म केवल घर जाँदैछु। तपाईंलाई के गर्न चाहान्छ?
अनौठो आकृति: त्यो एक महान विचार जस्तो लाग्छ। म तिमीलाई घर लैजान सक्छु।<|end_of_text|>","नायक: के हो, तपाईं यहाँ के गर्दै हुनुहुन्छ?
अनौठो आकृति: म यहाँ मात्र हिंड्दै छु, केवल तपाईंलाई भेट्न। तपाईलाई के गर्न चाहान्छ?
नायक: म केवल घर जाँदैछु। तपाईंलाई के गर्न चाहान्छ?
अनौठो आकृति: त्यो एक महान विचार जस्तो लाग्छ। म तिमीलाई घर लैजान सक्छु।","नायक: के हो, तपाईं यहाँ के गर्दै हुनुहुन्छ?
अनौठो आकृति: म यहाँ मात्र हिंड्दै छु, केवल तपाईंलाई भेट्न। तपाईलाई के गर्न चाहान्छ?
नायक: म केवल घर जाँदैछु। तपाईंलाई के गर्न चाहान्छ?
अनौठो आकृति: त्यो एक महान विचार जस्तो लाग्छ। म तिमीलाई घर लैजान सक्छु।<|end_of_text|>",6,5,7,5,,No,15,44,0.0,0.0,0.0,0.02889298856690844
41,"""बिरालो चटाईमा बस्यो"" वाक्यको लागि खोज्नुहोस्/बदल्नुहोस् आदेश निर्माण गर्नुहोस्।",,"फेला पार्नुहोस्: बिरालो चटाईमा बस्यो
बदल्नुहोस्: कुकुर सोफेबाट हाम फाल्यो",44233,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
""बिरालो चटाईमा बस्यो"" वाक्यको लागि खोज्नुहोस्/बदल्नुहोस् आदेश निर्माण गर्नुहोस्।

### Input:


### Response:
बिरालो चटाईमा बस्यो<|end_of_text|>",बिरालो चटाईमा बस्यो,बिरालो चटाईमा बस्यो<|end_of_text|>,2,2,5,1,,Yes,10,3,0.0,0.0,0.0,0.020536698278674114
42,"एक उपयुक्त इनपुट दिईएको छ, एक कविता उत्पन्न गर्नुहोस् जसले खुशीको भावनालाई समात्छ।",उज्यालो न्यानो घाम,"उज्यालो न्यानो घाम
यसले मलाई जीवन र रमाईलोले भर्छ
मेरो मनमा खुशीको बीउ छरिन्छ
एक अद्भुत शान्ति देखाइएको छ
मेरो स्वामित्वको लागि मायाको फूल
यो आनन्दको अनुभूति मात्र उडाउन सकिदैन
खुशी जुन सँधै म संग अनुग्रहित हुनेछु
एक न्यानोपन जुन म अब कहिल्यै स्वाद गर्न सक्छु।",16853,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
एक उपयुक्त इनपुट दिईएको छ, एक कविता उत्पन्न गर्नुहोस् जसले खुशीको भावनालाई समात्छ।

### Input:
उज्यालो न्यानो घाम

### Response:
उज्यालो घाम, मेरो हृदयलाई न्यानो पार्दै,
यो जीवनमा सुन्दरता ल्याउने तपाईंले गर्नुभएको कुरा हो।
मेरो हृदयलाई आनन्दले भर्ने तिम्रो उज्यालो,
मेरो सपना र मेरो सपनाहरू संगै मेरो दिनहरू बनाउनुहोस्।

तिम्रो उज्यालो मेरो हृदयमा उज्यालो ल्याउने,
मेरो आत्मालाई आनन्द र सौन्दर्यले भर्नुहोस्।
हाम्रो जीवनमा तिम्रो उज्यालो छ,
मेरो भावनाहरू उज्यालो पार्ने र मेरो हृदयलाई न्यानो पार्ने।

तिम्रो उज्यालो मेरो हृदयमा उज्यालो ल्याउने,
मेरो आत्मालाई आनन्द र सौन्दर्यले भर्नुहोस्।
हाम्रो जीवनमा तिम्रो उज्यालो छ,
मेरो भावनाहरू उज्यालो पार्ने र मेरो हृदयलाई न्यानो पार्ने।<|end_of_text|>","उज्यालो घाम, मेरो हृदयलाई न्यानो पार्दै,
यो जीवनमा सुन्दरता ल्याउने तपाईंले गर्नुभएको कुरा हो।
मेरो हृदयलाई आनन्दले भर्ने तिम्रो उज्यालो,
मेरो सपना र मेरो सपनाहरू संगै मेरो दिनहरू बनाउनुहोस्।

तिम्रो उज्यालो मेरो हृदयमा उज्यालो ल्याउने,
मेरो आत्मालाई आनन्द र सौन्दर्यले भर्नुहोस्।
हाम्रो जीवनमा तिम्रो उज्यालो छ,
मेरो भावनाहरू उज्यालो पार्ने र मेरो हृदयलाई न्यानो पार्ने।

तिम्रो उज्यालो मेरो हृदयमा उज्यालो ल्याउने,
मेरो आत्मालाई आनन्द र सौन्दर्यले भर्नुहोस्।
हाम्रो जीवनमा तिम्रो उज्यालो छ,
मेरो भावनाहरू उज्यालो पार्ने र मेरो हृदयलाई न्यानो पार्ने।","उज्यालो घाम, मेरो हृदयलाई न्यानो पार्दै,
यो जीवनमा सुन्दरता ल्याउने तपाईंले गर्नुभएको कुरा हो।
मेरो हृदयलाई आनन्दले भर्ने तिम्रो उज्यालो,
मेरो सपना र मेरो सपनाहरू संगै मेरो दिनहरू बनाउनुहोस्।

तिम्रो उज्यालो मेरो हृदयमा उज्यालो ल्याउने,
मेरो आत्मालाई आनन्द र सौन्दर्यले भर्नुहोस्।
हाम्रो जीवनमा तिम्रो उज्यालो छ,
मेरो भावनाहरू उज्यालो पार्ने र मेरो हृदयलाई न्यानो पार्ने।

तिम्रो उज्यालो मेरो हृदयमा उज्यालो ल्याउने,
मेरो आत्मालाई आनन्द र सौन्दर्यले भर्नुहोस्।
हाम्रो जीवनमा तिम्रो उज्यालो छ,
मेरो भावनाहरू उज्यालो पार्ने र मेरो हृदयलाई न्यानो पार्ने।<|end_of_text|>",8,7,7,7,,Yes,46,81,0.0,0.0,0.0,0.0063185797863121555
43,बीसौं शताब्दीको सबैभन्दा महत्त्वपूर्ण आविष्कार के हो?,,"निस्सन्देह, बीसौं शताब्दीको सबैभन्दा महत्त्वपूर्ण आविष्कार इन्टरनेट हो। पहिले कहिल्यै नभएको व्यक्तिहरूलाई जोडेर र जीवनका धेरै पक्षहरूलाई क्रान्तिकारी परिवर्तन गरेर, इन्टरनेटले मानिसहरूको सञ्चार, अन्तरक्रिया र जानकारी पहुँच गर्ने तरिकामा गहिरो प्रभाव पारेको छ।",35728,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
बीसौं शताब्दीको सबैभन्दा महत्त्वपूर्ण आविष्कार के हो?

### Input:


### Response:
बीसौं शताब्दीको सबैभन्दा महत्त्वपूर्ण आविष्कार इन्टरनेट हो।<|end_of_text|>",बीसौं शताब्दीको सबैभन्दा महत्त्वपूर्ण आविष्कार इन्टरनेट हो।,बीसौं शताब्दीको सबैभन्दा महत्त्वपूर्ण आविष्कार इन्टरनेट हो।<|end_of_text|>,8,8,9,7,,No,33,7,0.0,0.0,0.0,0.01972023171974501
44,मानिसले लगाएको उपयुक्त रंगको अनुमान गर्नुहोस्।,त्यो मानिस चम्किलो गहनासहितको उच्च कलरको पोशाकमा सजिएको थियो।,त्यो मानिस गहिरो बरगन्डी रङमा चम्किलो गहनासहित उच्च कलरको पोशाक लगाएको थियो।,45836,"<|begin_of_text|>Below is an instruction in Nepali that describes a task, paired with an input also in nepali that provides further context. Write a response in Nepali that appropriately completes the request.

### Instruction:
मानिसले लगाएको उपयुक्त रंगको अनुमान गर्नुहोस्।

### Input:
त्यो मानिस चम्किलो गहनासहितको उच्च कलरको पोशाकमा सजिएको थियो।

### Response:
मानिसले नीलो रङ लगाएको हुनुपर्छ।<|end_of_text|>",मानिसले नीलो रङ लगाएको हुनुपर्छ।,मानिसले नीलो रङ लगाएको हुनुपर्छ।<|end_of_text|>,6,6,7,5,,No,12,5,0.0,0.0,0.0,0.011257075728838162
